,state,customer_lifetime_value,response,coverage,effective_to_date,employmentstatus,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size
0,Arizona,4809.0,No,Basic,2011-02-18,Employed,M,48029,Suburban,Married,61,7.0,52,0.0,3,Corporate Auto,Corporate,Offer3,Agent,293.0,Four-Door Car,Medsize
2,Washington,14948.0,No,Basic,2011-02-10,Employed,M,22139,Suburban,Single,100,34.0,31,0.0,2,Personal Auto,Personal,Offer3,Call Center,480.0,Four-Door Car,Medsize
3,Oregon,22332.0,Yes,Extended,2011-01-11,Employed,M,49078,Suburban,Single,97,10.0,3,0.0,2,Corporate Auto,Corporate,Offer2,Branch,484.0,Four-Door Car,Medsize
6,California,5035.0,No,Basic,2011-02-14,Employed,F,37405,Urban,Married,63,8.0,99,3.0,3,Corporate Auto,Corporate,Offer2,Branch,288.0,Four-Door Car,Medsize
7,California,4956.0,No,Basic,2011-02-24,Employed,M,87197,Urban,Single,63,35.0,45,0.0,3,Personal Auto,Personal,Offer2,Branch,247.0,Two-Door Car,Medsize
8,California,5990.0,Yes,Premium,2011-01-19,Employed,M,66839,Suburban,Single,154,33.0,24,0.0,1,Personal Auto,Personal,Offer2,Branch,739.0,Sports Car,Medsize
9,Oregon,17114.0,No,Extended,2011-01-04,Employed,F,70961,Suburban,Married,85,19.0,8,0.0,2,Corporate Auto,Corporate,Offer2,Agent,408.0,Four-Door Car,Small
10,Arizona,5155.0,No,Extended,2011-01-02,Employed,M,82730,Urban,Married,127,13.0,31,0.0,1,Corporate Auto,Corporate,Offer2,Branch,443.0,Four-Door Car,Large
12,Oregon,19955.0,No,Extended,2011-01-31,Employed,F,69096,Rural,Married,99,24.0,32,0.0,2,Corporate Auto,Corporate,Offer1,Agent,65.0,Four-Door Car,Medsize
13,California,5455.0,No,Basic,2011-01-26,Employed,M,66334,Suburban,Single,69,25.0,25,0.0,3,Personal Auto,Personal,Offer4,Call Center,331.0,Two-Door Car,Medsize
15,California,4627.0,Yes,Basic,2011-01-16,Employed,F,79487,Suburban,Divorced,114,20.0,87,0.0,1,Special Auto,Special,Offer2,Branch,547.0,Four-Door Car,Medsize
16,California,5327.0,No,Basic,2011-02-07,Employed,F,76717,Urban,Married,66,26.0,10,0.0,3,Personal Auto,Personal,Offer4,Call Center,301.0,Two-Door Car,Large
18,California,2736.0,No,Basic,2011-02-14,Disabled,M,17533,Suburban,Married,73,10.0,1,0.0,1,Personal Auto,Personal,Offer1,Agent,350.0,Two-Door Car,Medsize
19,California,3747.0,Yes,Extended,2011-02-26,Employed,F,41479,Rural,Married,94,14.0,38,1.0,1,Personal Auto,Personal,Offer2,Call Center,20.0,Two-Door Car,Large
21,Oregon,6274.0,No,Extended,2011-02-14,Medical Leave,F,13662,Suburban,Single,85,29.0,37,0.0,3,Personal Auto,Personal,Offer1,Agent,408.0,Four-Door Car,Small
22,Oregon,15032.0,No,Basic,2011-01-15,Employed,F,59456,Suburban,Married,189,11.0,7,0.0,3,Personal Auto,Personal,Offer2,Call Center,907.0,Luxury Car,Large
25,Nevada,9521.0,No,Extended,2011-01-24,Employed,M,27769,Rural,Married,121,24.0,78,0.0,3,Special Auto,Special,Offer4,Agent,123.0,Four-Door Car,Small
26,Arizona,8870.0,No,Basic,2011-02-21,Employed,F,81350,Rural,Married,110,1.0,28,0.0,3,Personal Auto,Personal,Offer3,Branch,228.0,Four-Door Car,Large
27,Oregon,4376.0,Yes,Premium,2011-02-28,Employed,F,63774,Rural,Divorced,111,18.0,63,0.0,1,Personal Auto,Personal,Offer2,Agent,60.0,Four-Door Car,Medsize
28,Nevada,2927.0,No,Basic,2011-02-22,Employed,F,92381,Urban,Married,72,24.0,27,0.0,1,Special Auto,Special,Offer2,Call Center,235.0,Four-Door Car,Medsize
29,California,24707.0,No,Basic,2011-01-07,Medical Leave,M,26307,Urban,Married,73,26.0,1,0.0,2,Personal Auto,Personal,Offer4,Call Center,313.0,Four-Door Car,Medsize
31,California,9192.0,No,Basic,2011-02-08,Employed,F,23823,Suburban,Married,115,5.0,39,0.0,3,Corporate Auto,Corporate,Offer2,Branch,567.0,Sports Car,Medsize
32,Arizona,5776.0,No,Premium,2011-01-28,Medical Leave,F,27510,Suburban,Married,159,5.0,28,3.0,1,Corporate Auto,Corporate,Offer1,Call Center,871.0,Four-Door Car,Small
33,California,9116.0,No,Basic,2011-02-15,Employed,F,69588,Rural,Married,114,19.0,45,0.0,3,Personal Auto,Personal,Offer1,Branch,173.0,Four-Door Car,Medsize
34,California,4163.0,No,Basic,2011-02-12,Employed,F,43276,Suburban,Married,104,16.0,11,0.0,1,Personal Auto,Personal,Offer2,Call Center,499.0,Four-Door Car,Large
36,California,3945.0,No,Basic,2011-01-05,Medical Leave,M,28855,Suburban,Married,101,12.0,59,0.0,1,Personal Auto,Personal,Offer3,Call Center,647.0,Four-Door Car,Medsize
37,Oregon,5177.0,No,Basic,2011-02-07,Employed,M,41533,Urban,Married,65,2.0,46,0.0,3,Corporate Auto,Corporate,Offer3,Agent,233.0,Four-Door Car,Medsize
38,Arizona,4492.0,No,Basic,2011-01-28,Medical Leave,F,21137,Suburban,Single,61,29.0,62,1.0,3,Personal Auto,Personal,Offer2,Web,293.0,Four-Door Car,Medsize
40,California,2880.0,No,Basic,2011-01-05,Employed,F,81565,Urban,Married,71,19.0,54,0.0,1,Personal Auto,Personal,Offer2,Branch,191.0,Four-Door Car,Medsize
41,Arizona,6183.0,No,Extended,2011-02-07,Medical Leave,M,20072,Suburban,Married,82,35.0,51,0.0,3,Corporate Auto,Corporate,Offer1,Agent,473.0,Four-Door Car,Medsize
42,Nevada,9799.0,No,Extended,2011-01-03,Medical Leave,M,22166,Suburban,Married,126,10.0,22,0.0,3,Personal Auto,Personal,Offer1,Web,605.0,Four-Door Car,Medsize
43,Arizona,5791.0,No,Basic,2011-02-03,Employed,M,84551,Rural,Divorced,72,10.0,82,0.0,3,Personal Auto,Personal,Offer2,Agent,29.0,Four-Door Car,Large
44,Arizona,5041.0,No,Basic,2011-01-19,Employed,M,61972,Rural,Married,64,2.0,52,2.0,3,Personal Auto,Personal,Offer4,Call Center,139.0,Four-Door Car,Medsize
45,Arizona,5746.0,No,Basic,2011-01-22,Employed,F,57740,Urban,Married,74,30.0,87,3.0,3,Personal Auto,Personal,Offer3,Web,270.0,Four-Door Car,Medsize
47,California,7664.0,No,Basic,2011-01-23,Employed,M,60184,Rural,Divorced,199,7.0,44,1.0,1,Personal Auto,Personal,Offer2,Web,162.0,Luxury Car,Medsize
48,California,3593.0,No,Extended,2011-02-05,Disabled,F,18213,Suburban,Divorced,96,12.0,43,1.0,1,Corporate Auto,Corporate,Offer1,Branch,461.0,Four-Door Car,Large
49,Nevada,9864.0,No,Extended,2011-02-28,Employed,F,99654,Rural,Married,121,13.0,95,0.0,3,Personal Auto,Personal,Offer3,Call Center,273.0,Four-Door Car,Medsize
50,California,5111.0,No,Basic,2011-02-13,Employed,F,76448,Suburban,Married,63,9.0,13,0.0,3,Personal Auto,Personal,Offer3,Web,302.0,Four-Door Car,Medsize
52,Arizona,2452.0,No,Basic,2011-01-25,Employed,F,51085,Suburban,Married,62,4.0,58,1.0,1,Personal Auto,Personal,Offer3,Call Center,407.0,Two-Door Car,Small
55,Arizona,19436.0,No,Extended,2011-02-01,Employed,F,38688,Suburban,Single,249,22.0,6,0.0,3,Special Auto,Special,Offer1,Agent,2295.0,Luxury Car,Medsize
56,Oregon,2458.0,No,Basic,2011-01-27,Employed,F,52926,Suburban,Married,61,2.0,92,0.0,1,Personal Auto,Personal,Offer1,Call Center,293.0,Four-Door Car,Medsize
60,Oregon,5651.0,No,Basic,2011-01-19,Employed,M,44634,Suburban,Married,71,16.0,99,1.0,3,Personal Auto,Personal,Offer1,Branch,396.0,Four-Door Car,Small
61,California,4556.0,No,Basic,2011-02-14,Medical Leave,M,25617,Suburban,Divorced,63,22.0,3,0.0,3,Personal Auto,Personal,Offer2,Call Center,302.0,Two-Door Car,Medsize
64,Arizona,5860.0,No,Basic,2011-02-01,Employed,M,94527,Rural,Married,73,16.0,32,0.0,3,Personal Auto,Personal,Offer1,Agent,41.0,Four-Door Car,Medsize
65,Oregon,2301.0,Yes,Basic,2011-01-15,Retired,M,25905,Suburban,Divorced,63,21.0,12,0.0,1,Corporate Auto,Corporate,Offer1,Agent,302.0,Four-Door Car,Large
66,California,4950.0,No,Basic,2011-01-20,Employed,F,27400,Suburban,Married,63,14.0,78,1.0,3,Personal Auto,Personal,Offer3,Agent,302.0,Four-Door Car,Medsize
69,Oregon,2867.0,Yes,Extended,2011-01-03,Retired,F,23376,Suburban,Divorced,78,19.0,18,0.0,1,Personal Auto,Personal,Offer2,Call Center,374.0,Four-Door Car,Medsize
70,Oregon,5427.0,No,Basic,2011-02-11,Medical Leave,F,27677,Suburban,Married,72,10.0,82,1.0,3,Personal Auto,Personal,Offer2,Agent,346.0,Four-Door Car,Medsize
71,Arizona,12158.0,No,Extended,2011-01-07,Employed,M,40432,Suburban,Married,77,21.0,66,0.0,2,Personal Auto,Personal,Offer3,Agent,370.0,Four-Door Car,Medsize
74,Oregon,26346.0,No,Extended,2011-01-20,Employed,M,48268,Suburban,Divorced,223,28.0,26,0.0,2,Personal Auto,Personal,Offer1,Web,1606.0,Luxury Car,Medsize
75,Oregon,2364.0,No,Basic,2011-01-18,Employed,M,46264,Urban,Single,62,17.0,75,0.0,1,Corporate Auto,Corporate,Offer4,Branch,199.0,Four-Door Car,Medsize
79,Arizona,9313.0,No,Premium,2011-02-13,Employed,M,75986,Rural,Married,115,11.0,44,0.0,3,Personal Auto,Personal,Offer3,Call Center,89.0,Four-Door Car,Medsize
80,California,7750.0,No,Basic,2011-02-23,Employed,F,22668,Rural,Single,67,5.0,34,1.0,2,Personal Auto,Personal,Offer3,Branch,34.0,Four-Door Car,Medsize
